Participants	Duration..in.seconds.	Attention.check	Q3	Q4	Q5	Set_News	Type	Number	Accurate	Interesting	Order	Share
177	597	1	2	42	6	FL_417	TN	22	4	5	C	4
178	304	1	1	37	5	FL_417	TN	22	3	3	C	1
183	308	1	2	50	5	FL_417	TN	22	3	2	A	1
184	289	1	2	38	6	FL_417	TN	22	4	3	A	1
187	225	1	2	29	5	FL_417	TN	22	3	3	C	1
189	240	1	2	41	5	FL_417	TN	22	2	3	A	2
191	268	1	1	24	5	FL_417	TN	22	2	3	A	3
192	334	1	2	63	5	FL_417	TN	22	4	5	C	1
193	193	1	2	32	5	FL_417	TN	22	2	3	A	4
204	227	1	1	34	5	FL_417	TN	22	3	5	C	2
205	185	1	2	36	3	FL_417	TN	22	3	5	A	1
211	183	1	1	37	5	FL_417	TN	22	3	4	C	1
213	340	1	2	69	5	FL_417	TN	22	3	5	A	1
223	194	1	1	19	3	FL_417	TN	22	3	4	C	3
228	175	1	1	22	3	FL_417	TN	22	3	4	A	2
229	167	1	2	58	3	FL_417	TN	22	3	3	A	1
230	322	1	2	50	5	FL_417	TN	22	2	2	C	1
231	151	1	2	35	5	FL_417	TN	22	2	5	A	2
234	241	1	1	32	3	FL_417	TN	22	3	4	C	1
237	299	1	3	22	1	FL_417	TN	22	3	5	A	6
243	188	1	2	24	5	FL_417	TN	22	2	4	C	1
244	495	1	2	67	6	FL_417	TN	22	1	4	A	3
247	342	1	1	22	5	FL_417	TN	22	4	6	C	5
252	336	1	3	19	2	FL_417	TN	22	4	4	A	5
256	286	1	2	22	5	FL_417	TN	22	3	5	A	1
257	378	1	2	49	3	FL_417	TN	22	3	6	A	6
259	240	1	1	30	3	FL_417	TN	22	3	5	A	4
260	218	1	1	23	5	FL_417	TN	22	2	3	C	3
261	327	1	2	23	5	FL_417	TN	22	3	4	C	1
262	579	1	2	23	3	FL_417	TN	22	3	2	A	1
266	338	1	1	21	3	FL_417	TN	22	3	4	A	3
267	402	1	2	25	5	FL_417	TN	22	2	3	A	1
268	147	1	1	32	6	FL_417	TN	22	3	3	A	1
270	314	1	1	34	5	FL_417	TN	22	3	3	C	1
274	520	1	2	56	6	FL_417	TN	22	2	1	A	2
281	590	1	2	40	2	FL_417	TN	22	3	5	A	3
283	546	1	2	46	6	FL_417	TN	22	4	4	A	1
284	521	1	1	29	5	FL_417	TN	22	2	2	C	4
285	601	1	1	33	5	FL_417	TN	22	3	3	C	2
287	560	1	1	19	6	FL_417	TN	22	3	4	A	3
288	601	1	1	54	3	FL_417	TN	22	3	5	A	6
293	674	1	1	43	4	FL_417	TN	22	1	1	C	1
297	942	1	1	19	2	FL_417	TN	22	3	1	C	1
299	1282	1	2	34	5	FL_417	TN	22	3	4	C	1
1	198	1	2	20	2	FL_417	FN	1	2	5	D	4
5	138	1	1	21	5	FL_417	FN	1	1	6	D	1
10	374	1	1	30	5	FL_417	FN	1	2	4	C	1
12	217	1	2	19	3	FL_417	FN	1	2	5	A	2
13	269	1	2	20	4	FL_417	FN	1	3	7	B	4
15	228	1	3	20	3	FL_417	FN	1	1	2	A	1
16	260	1	2	51	5	FL_417	FN	1	1	2	E	1
24	371	1	2	67	6	FL_417	FN	1	2	6	C	4
27	367	1	2	40	5	FL_417	FN	1	3	7	B	5
31	378	1	2	37	3	FL_417	FN	1	2	6	E	1
32	278	1	1	18	2	FL_417	FN	1	1	3	E	2
36	212	1	1	32	5	FL_417	FN	1	3	5	D	3
